sci_data_set_name,sci_targname,sci_hapnum,sci_haspnum,sci_instrume,sci_aper_1234,sci_spec_1234,sci_actual_duration,sci_start_time,sci_pep_id,sci_pi_last_name,sci_ra,sci_dec,sci_refnum,sci_central_wavelength,sci_release_date,sci_stop_time,sci_preview_name,scp_scan_type,sci_hlsp,search_pos,ang_sep
IEH309010,WISEA-J125747.86+274610.0,1,0,WFC3,IRSUB512,F110W,238.703536,2021-04-27T17:45:37.243000,16423,BALDASSARE,194.44943,27.76946111111,1,11534.459,2021-10-28T04:00:34,2021-04-27T17:52:33.913000,IEH309010,,,194.44943 27.76947,5.333333999372594E-4
IEH309020,WISEA-J125747.86+274610.0,1,0,WFC3,UVIS2-2K2C-SUB,F300X,786.0,2021-04-27T17:54:21.580000,16423,BALDASSARE,194.44943,27.76946111111,1,2805.8406,2021-10-28T04:17:34,2021-04-27T18:13:35.547000,IEH309020,,,194.44943 27.76947,5.333333999372594E-4
IEH309030,WISEA-J125747.86+274610.0,1,0,WFC3,UVIS2-2K2C-SUB,F606W,480.0,2021-04-27T18:17:04.557000,16423,BALDASSARE,194.44943,27.76946111111,1,5887.7124,2021-10-28T04:19:30,2021-04-27T18:31:16.570000,IEH309030,,,194.44943 27.76947,5.333333999372594E-4
ICRV04010,SDSSJ144012.70+024743.5,1,0,WFC3,UVIS2-C1K1C-SUB,F275W,747.0,2015-06-15T15:10:35.123000,13943,REINES,220.0529166667,2.795416666667,5,2703.2976,2016-06-15T17:20:47,2015-06-15T15:26:08.127000,ICRV04010,,,220.05293 2.79542,8.236956700388224E-4
ICRV04020,SDSSJ144012.70+024743.5,1,0,WFC3,UVIS2-2K2C-SUB,F606W,645.0,2015-06-15T15:28:01.137000,13943,REINES,220.0529166667,2.795416666667,5,5887.7124,2016-06-15T17:22:52,2015-06-15T15:44:40.127000,ICRV04020,,,220.05293 2.79542,8.236956700388224E-4
ICRV04030,SDSSJ144012.70+024743.5,1,0,WFC3,IRSUB512,F110W,422.073488,2015-06-15T15:48:20.833000,13943,REINES,220.0529166667,2.795416666667,5,11534.459,2016-06-15T17:24:08,2015-06-15T15:58:21.343000,ICRV04030,,,220.05293 2.79542,8.236956700388224E-4
ICYV01010,SDSS-J152304.97+114553.6,1,0,WFC3,UVIS2,F475W,2312.0,2016-06-23T11:52:37.977000,14187,BALDASSARE,230.7707042929,11.76491070747,2,4772.63625,2017-06-24T01:05:41,2016-06-23T12:37:33.960000,ICYV01010,,,230.77072 11.76489,0.001547552872803948
ICYV01020,SDSS-J152304.97+114553.6,1,0,WFC3,UVIS2,F775W,2424.0,2016-06-23T13:40:44.987000,14187,BALDASSARE,230.7707042929,11.76491070747,2,7649.834,2017-06-24T01:06:40,2016-06-23T15:12:13.960000,ICYV01020,,,230.77072 11.76489,0.001547552872803948
IEH307010,WISEA-J080028.51+152711.0,1,0,WFC3,IRSUB512,F110W,238.703536,2020-10-31T01:52:00.987000,16423,BALDASSARE,120.11898,15.4531,1,11534.459,2021-04-30T09:06:02,2020-10-31T01:58:57.660000,IEH307010,,,120.11895 15.4531,0.0017349279850170378
IEH307020,WISEA-J080028.51+152711.0,1,0,WFC3,UVIS2-2K2C-SUB,F300X,777.0,2020-10-31T02:00:45.293000,16423,BALDASSARE,120.11898,15.4531,1,2805.8406,2021-04-30T09:32:39,2020-10-31T02:19:50.300000,IEH307020,,,120.11895 15.4531,0.0017349279850170378
IEH307030,WISEA-J080028.51+152711.0,1,0,WFC3,UVIS2-2K2C-SUB,F606W,480.0,2020-10-31T02:23:19.310000,16423,BALDASSARE,120.11898,15.4531,1,5887.7124,2021-04-30T09:27:23,2020-10-31T03:40:52.283000,IEH307030,,,120.11895 15.4531,0.0017349279850170378
IEH306010,2MASX-J11404072+5948504,1,0,WFC3,IRSUB512,F110W,238.703536,2021-01-30T10:17:42.200000,16423,BALDASSARE,175.16972,59.81396944444,1,11534.459,2021-07-30T20:19:18,2021-01-30T10:24:38.873000,IEH306010,,,175.1697 59.81402,0.003092760708973673
IEH306020,2MASX-J11404072+5948504,1,0,WFC3,UVIS2-2K2C-SUB,F300X,1011.0,2021-01-30T10:26:26.507000,16423,BALDASSARE,175.16972,59.81396944444,1,2805.8406,2021-07-30T20:44:24,2021-01-30T11:09:39.513000,IEH306020,,,175.1697 59.81402,0.003092760708973673
IEH306030,2MASX-J11404072+5948504,1,0,WFC3,UVIS2-2K2C-SUB,F606W,480.0,2021-01-30T11:13:08.523000,16423,BALDASSARE,175.16972,59.81396944444,1,5887.7124,2021-07-30T20:38:55,2021-01-30T11:27:20.503000,IEH306030,,,175.1697 59.81402,0.003092760708973673
ICRV08010,SDSSJ084029.91+470710.4,1,0,WFC3,UVIS2-C1K1C-SUB,F275W,789.0,2015-05-22T03:38:11.123000,13943,REINES,130.1245833333,47.11955555556,5,2703.2976,2016-05-22T05:13:15,2015-05-22T03:54:26.143000,ICRV08010,,,130.12463 47.11951,0.003331870124184056
ICRV08020,SDSSJ084029.91+470710.4,1,0,WFC3,UVIS2-2K2C-SUB,F606W,645.0,2015-05-22T03:56:19.123000,13943,REINES,130.1245833333,47.11955555556,5,5887.7124,2016-05-22T05:15:20,2015-05-22T04:12:58.113000,ICRV08020,,,130.12463 47.11951,0.003331870124184056
ICRV08030,SDSSJ084029.91+470710.4,1,0,WFC3,IRSUB512,F110W,513.758484,2015-05-22T04:16:38.817000,13943,REINES,130.1245833333,47.11955555556,5,11534.459,2016-05-22T05:16:24,2015-05-22T04:28:11.263000,ICRV08030,,,130.12463 47.11951,0.003331870124184056
ICRV05010,SDSSJ085125.81+393541.7,1,0,WFC3,UVIS2-C1K1C-SUB,F275W,801.0,2015-03-22T22:07:45.957000,13943,REINES,132.8575,39.59491666667,5,2703.2976,2016-03-23T02:24:20,2015-03-22T23:06:59.953000,ICRV05010,,,132.85757 39.59494,0.003526221263598489
ICRV05020,SDSSJ085125.81+393541.7,1,0,WFC3,UVIS2-2K2C-SUB,F606W,645.0,2015-03-22T23:08:52.963000,13943,REINES,132.8575,39.59491666667,5,5887.7124,2016-03-23T02:26:45,2015-03-22T23:25:31.953000,ICRV05020,,,132.85757 39.59494,0.003526221263598489
ICRV05030,SDSSJ085125.81+393541.7,1,0,WFC3,IRSUB512,F110W,422.073488,2015-03-22T23:29:12.657000,13943,REINES,132.8575,39.59491666667,5,11534.459,2016-03-23T02:28:20,2015-03-22T23:39:13.170000,ICRV05030,,,132.85757 39.59494,0.003526221263598489
IEH308010,CGCG-119-107,1,0,WFC3,IRSUB512,F110W,238.703536,2021-03-01T11:22:18.260000,16423,BALDASSARE,126.84971,23.18006111111,1,11534.459,2021-09-01T15:32:51,2021-03-01T11:29:14.933000,IEH308010,,,126.84973 23.18012,0.0037015312005556273
IEH308020,CGCG-119-107,1,0,WFC3,UVIS2-2K2C-SUB,F300X,780.0,2021-03-01T11:31:02.567000,16423,BALDASSARE,126.84971,23.18006111111,1,2805.8406,2021-09-01T15:58:39,2021-03-01T11:50:10.580000,IEH308020,,,126.84973 23.18012,0.0037015312005556273
IEH308030,CGCG-119-107,1,0,WFC3,UVIS2-2K2C-SUB,F606W,480.0,2021-03-01T11:53:39.557000,16423,BALDASSARE,126.84971,23.18006111111,1,5887.7124,2021-09-01T15:56:12,2021-03-01T12:07:51.573000,IEH308030,,,126.84973 23.18012,0.0037015312005556273
ICYV01030,SDSS-J152304.97+114553.6,1,0,WFC3,IR,F160W,2396.926268,2016-06-23T15:29:24.487000,14187,BALDASSARE,230.7706667186,11.76495235879,2,15369.176,2017-06-23T21:34:54,2016-06-23T17:15:26.727000,ICYV01030,,,230.77072 11.76489,0.0048779305913516265
ID1O01010,MRK-1434,1,0,WFC3,UVIS2,F606W,1852.0,2016-04-16T04:03:57.797000,14356,PLOTKIN,158.54236,58.06373055556,2,5888.43895,2017-04-16T15:52:10,2016-04-16T04:41:13.780000,ID1O01010,,,158.54231 58.06365,0.005087185515966905
ID1O01020,MRK-1434,1,0,WFC3,IRSUB512,F110W,513.758484,2016-04-16T04:44:05.493000,14356,PLOTKIN,158.54236,58.06373055556,2,11534.459,2017-04-16T08:13:15,2016-04-16T05:46:30.933000,ID1O01020,,,158.54231 58.06365,0.005087185515966905
ICRV02010,SDSSJ090613.75+561015.5,1,0,WFC3,UVIS2-C1K1C-SUB,F275W,900.0,2015-02-18T02:16:54.883000,13943,REINES,136.5575,56.17097222222,5,2703.2976,2016-02-18T06:54:00,2015-02-18T02:35:00.880000,ICRV02010,,,136.55732 56.17099,0.006106421448353125
ICRV02020,SDSSJ090613.75+561015.5,1,0,WFC3,UVIS2-2K2C-SUB,F606W,648.0,2015-02-18T02:36:53.890000,13943,REINES,136.5575,56.17097222222,5,5887.7124,2016-02-18T06:56:57,2015-02-18T03:25:42.897000,ICRV02020,,,136.55732 56.17099,0.006106421448353125
ICRV02030,SDSSJ090613.75+561015.5,1,0,WFC3,IRSUB512,F110W,513.758484,2015-02-18T03:55:03.600000,13943,REINES,136.5575,56.17097222222,5,11534.459,2016-02-18T06:58:43,2015-02-18T04:06:36.017000,ICRV02030,,,136.55732 56.17099,0.006106421448353125
ICRV03010,SDSSJ095418.15+471725.1,1,0,WFC3,UVIS2-C1K1C-SUB,F275W,882.0,2015-05-23T16:15:41.137000,13943,REINES,148.5758333333,47.29030555556,5,2703.2976,2016-05-23T23:20:44,2015-05-23T16:33:29.120000,ICRV03010,,,148.57564 47.29032,0.007915679585465466
ICRV03020,SDSSJ095418.15+471725.1,1,0,WFC3,UVIS2-2K2C-SUB,F606W,645.0,2015-05-23T16:35:22.130000,13943,REINES,148.5758333333,47.29030555556,5,5887.7124,2016-05-23T23:22:39,2015-05-23T16:52:01.120000,ICRV03020,,,148.57564 47.29032,0.007915679585465466
ICRV03030,SDSSJ095418.15+471725.1,1,0,WFC3,IRSUB512,F110W,422.073488,2015-05-23T16:55:41.823000,13943,REINES,148.5758333333,47.29030555556,5,11534.459,2016-05-23T23:23:44,2015-05-23T17:05:42.337000,ICRV03030,,,148.57564 47.29032,0.007915679585465466
IF2804010,J144252.81+205451.5,1,0,WFC3,UVIS2,F300X,696.0,2023-06-25T13:10:05.287000,17239,CHILINGARIAN,220.7199592999,20.91464775793,0,2813.1549,2023-12-25T20:42:51,2023-06-25T13:23:58.293000,IF2804010,,,220.71994 20.91437,0.01670054356461549
