ID,ra,dec
LEDA24384,130.12463038009,47.11951149567
LEDA2816038,196.785041,53.962356
LEDA39539,184.632173,5.849809
Mrk1434,158.542314,58.063647
NSA100285_v0,243.38847,20.99909
NSA101949_v0,175.76006738606600,26.138608866199600
NSA102133_v0,177.0027390502600,27.829514983281200
NSA102191_v0,179.32284330472300,28.119030458282000
NSA102235_v0,178.28603647990900,30.18746806652710
NSA102682_v0,185.17538963034800,29.345891284265400
NSA103398_v0,192.19534,26.74864
NSA103606_v0,194.48074,27.23201
NSA103730_v0,194.48648,27.99183
NSA103757_v0,194.44943,27.76947
NSA104042_v0,194.47142,27.70732
NSA104092_v0,194.68974,27.75391
NSA104527_v0,203.19008932176300,26.580376198619300
NSA104881_v0,120.11895,15.4531
NSA105376_v0,130.1064356117230,18.316401070261200
NSA105953_v0,139.3370241944370,19.17193338110820
NSA106134_v0,140.37495644390500,21.527609448831700
NSA106576_v0,144.11431,23.31915
NSA106979_v0,152.76396894426600,23.57977852740670
NSA106991_v0,151.09724058062600,23.223159017553900
NSA107272_v0,152.3986196084180,26.946948965432300
NSA10779_v0,136.55732031719900,56.17098554190060
NSA107866_v0,161.6869759874130,25.91717266698970
NSA110040_v0,135.59486234317300,14.180374005480400
NSA110381_v0,139.06332,17.44624
NSA111231_v0,162.5253160497130,16.51476608674930
NSA111644_v0,166.26653185584300,22.689842902933300
NSA112548_v0,172.60117297176700,23.366747362030400
NSA113341_v0,177.26098349366700,18.853195204659600
NSA113566_v0,175.99831334141200,24.714394797541200
NSA113900_v0,179.26696,22.31264
NSA114330_v0,236.7704,16.44245
NSA114518_v0,240.6282407782570,14.487026119525600
NSA114617_v1,20.151473,0.60174
NSA115553_v1,43.73942346,0.43208103
NSA1169_v0,173.5572786309000,0.3094743119027580
NSA117416_v0,157.1388922605060,18.7538931564868
NSA117678_v0,183.06861,17.24661
NSA118505_v0,184.55599365970900,20.076893339643500
NSA118850_v0,204.26228,18.17054
NSA120205_v0,205.3755947204280,24.481100520863700
NSA120870_v0,221.80337287741800,13.660913954399600
NSA121159_v0,232.63103116471900,12.781746484554200
NSA122122_v0,222.65213,15.05877
NSA122696_v0,213.6590689765340,20.068295975427600
NSA123490_v0,233.55755,16.50248
NSA123656_v0,215.18726870209900,22.710263715060900
NSA123877_v0,220.71994193182800,20.914370210786
NSA124249_v0,234.92363056741100,17.239382688332600
NSA124554_v0,175.1697,59.81402
NSA125318_v0,148.57564455827800,47.29031967251350
NSA12623_v0,155.45481181591600,63.868543494690800
NSA13274_v0,149.04021473910000,2.246747653137140
NSA141727_v0,189.25945,6.92527
NSA142638_v0,194.56363,27.4647
NSA142882_v0,195.6855,36.50724
NSA146555_v0,240.56369,16.15106
NSA147540_v0,254.49383,78.60427
NSA150464_v0,345.17972,22.5206
NSA15235_v0,220.05293489315200,2.7954228573440200
NSA152627_v0,356.76956,29.48229
NSA153595_v0,9.8286,40.36621
NSA156688_v0,126.84973,23.18012
NSA157392_v0,145.72186,9.49338
NSA161692_v0,186.27337288977800,5.329118636635180
NSA162072_v0,188.83349,39.51918
NSA166155_v0,230.77126158616300,11.764820885498300
NSA166259_v0,233.23735,46.45022
NSA166312_v0,234.1329261767470,16.44045529079600
NSA166712_v0,241.65759,18.39817
NSA166937_v0,247.19839,39.64976
NSA167047_v0,250.66024,22.55254
NSA167204_v0,255.87654,45.67985
NSA167330_v0,259.62970917634200,60.586162947399900
