sci_data_set_name,sci_targname,sci_hapnum,sci_haspnum,sci_instrume,sci_aper_1234,sci_spec_1234,sci_actual_duration,sci_start_time,sci_pep_id,sci_pi_last_name,sci_ra,sci_dec,sci_refnum,sci_central_wavelength,sci_release_date,sci_stop_time,sci_preview_name,scp_scan_type,sci_hlsp,search_pos,ang_sep
IDWM01010,SDSSJ032224.64+401119.8,1,0,WFC3  ,UVIS2-C1K1C-SUB,F336W,936.0,2019-09-02T01:02:07.993000,15607,REINES,50.60268,40.18881944444,1,3354.6558,2020-03-02T05:01:20,2019-09-02T01:20:49.990000,IDWM01010,,,50.60268 40.18882,3.3333600312014746e-05
IDWM01020,SDSSJ032224.64+401119.8,1,0,WFC3  ,UVIS2-C1K1C-SUB,F606W,735.0,2019-09-02T01:22:43.003000,15607,REINES,50.60268,40.18881944444,1,5887.7124,2020-03-02T05:00:50,2019-09-02T01:37:55.977000,IDWM01020,,,50.60268 40.18882,3.3333600312014746e-05
IDWM01030,SDSSJ032224.64+401119.8,1,0,WFC3  ,IRSUB512,F140W,422.073488,2019-09-02T01:40:08.680000,15607,REINES,50.60268,40.18881944444,1,13922.907,2020-03-02T04:55:56,2019-09-02T02:50:03.207000,IDWM01030,,,50.60268 40.18882,3.3333600312014746e-05
ICUU44010,SDSSJ134939.36+420241.4,1,0,WFC3  ,IRSUB512,F110W,972.183472,2016-06-17T09:57:38.697000,14251,REINES,207.41403,42.04482222222,2,11534.459,2017-06-17T15:28:40,2016-06-17T10:16:50.727000,ICUU44010,,,207.41403 42.04482,0.000133333200091458
ICUU28010,SDSSJ113129.20+350958.9,1,0,WFC3  ,IRSUB512,F110W,972.183472,2017-06-18T08:30:04.797000,14251,REINES,172.8716879167,35.16639166667,2,11534.459,2018-06-18T11:23:48,2017-06-18T08:49:16.830000,ICUU28010,,,172.87169 35.16639,0.00014297396158175643
ICUU02010,SDSSJ010005.93-011058.8,1,0,WFC3  ,IRSUB512,F110W,972.183472,2016-10-06T20:19:27.870000,14251,REINES,15.02472875,-1.183047222222,2,11534.459,2017-10-07T03:51:46,2016-10-06T20:38:39.900000,ICUU02010,,,15.02473 -1.18305,0.00018275772041579657
IERC08010,J122603.63+081519.0,1,0,WFC3  ,UVIS2-C1K1C-SUB,F680N,1030.0,2022-01-02T20:33:53.767000,16843,REINES,186.5151666667,8.255280555556,0,6877.4082,2022-07-02T22:32:13,2022-01-02T20:52:38.740000,IERC08010,,,186.51517 8.25528,0.00020071292160610474
IERC08020,J122603.63+081519.0,1,0,WFC3  ,UVIS2-C1K1C-SUB,F475W,532.0,2022-01-02T20:54:45.767000,16843,REINES,186.5151666667,8.255280555556,0,4772.1709,2022-07-02T22:31:56,2022-01-02T21:05:10.740000,IERC08020,,,186.51517 8.25528,0.00020071292160610474
IERC08030,J122603.63+081519.0,1,0,WFC3  ,UVIS2-C1K1C-SUB,F814W,570.0,2022-01-02T21:07:03.750000,16843,REINES,186.5151666667,8.255280555556,0,8029.3218,2022-07-02T22:34:13,2022-01-02T21:18:06.740000,IERC08030,,,186.51517 8.25528,0.00020071292160610474
ICUU38010,SDSSJ122342.82+581446.4,1,0,WFC3  ,IRSUB512,F110W,972.183472,2016-06-03T20:49:38.610000,14251,REINES,185.9284629167,58.24623333333,2,11534.459,2017-06-04T02:45:02,2016-06-03T21:08:50.673000,ICUU38010,,,185.92846 58.24623,0.0002201863133726425
